Desc	FAMILY	Bbub	Chir	Hbin	Hbta	Hsap	Sscr
(null)	PTHR13170	1	1	1	1	1	1
(null)	PTHR13172	2	2	2	2	2	2
(null)	PTHR13173	1	1	1	1	1	1
(null)	PTHR13174	1	1	1	1	1	1
(null)	PTHR13177	2	2	2	2	2	2
(null)	PTHR13178	1	1	1	1	1	1
(null)	PTHR13179	1	1	1	1	1	1
(null)	PTHR13180	2	2	2	2	2	2
(null)	PTHR13182	1	1	1	1	1	1
(null)	PTHR13183	1	1	1	1	1	1
(null)	PTHR13186	1	1	1	1	1	1
(null)	PTHR13190	2	2	2	2	2	2
(null)	PTHR13191	1	1	1	1	1	1
(null)	PTHR13192	1	1	1	1	1	1
(null)	PTHR13193	1	1	1	1	1	1
(null)	PTHR13194	1	1	1	1	1	1
(null)	PTHR13195	1	1	1	1	1	1
(null)	PTHR13196	3	3	3	3	3	3
(null)	PTHR13198	1	1	1	1	1	1
(null)	PTHR13199	2	2	2	2	2	2
(null)	PTHR13200	1	1	1	1	1	1
(null)	PTHR13202	1	1	1	2	1	1
(null)	PTHR13204	1	1	1	1	1	1
(null)	PTHR13205	1	1	1	1	1	1
(null)	PTHR13206	1	1	1	1	1	1
(null)	PTHR13208	1	1	1	1	1	1
(null)	PTHR13211	1	1	1	1	1	1
(null)	PTHR13213	1	1	1	1	1	1
(null)	PTHR13214	1	1	2	2	1	1
(null)	PTHR13215	1	1	1	1	1	2
(null)	PTHR13217	1	1	1	1	1	1
(null)	PTHR13218	1	1	1	1	1	1
(null)	PTHR13219	1	1	1	1	1	1
(null)	PTHR13220	1	1	1	1	1	1
(null)	PTHR13222	1	1	1	1	1	1
(null)	PTHR13223	1	1	1	1	1	1
(null)	PTHR13224	1	1	1	1	1	1
(null)	PTHR13225	1	1	1	1	1	1
(null)	PTHR13227	1	1	1	1	1	1
(null)	PTHR13228	1	1	1	1	1	1
(null)	PTHR13229	1	1	1	1	1	1
(null)	PTHR13230	1	1	1	1	1	1
(null)	PTHR13231	1	1	1	1	1	1
(null)	PTHR13232	1	2	2	2	2	2
(null)	PTHR13233	1	1	1	1	1	1
(null)	PTHR13234	1	1	1	1	1	1
(null)	PTHR13235	1	1	1	1	1	1
(null)	PTHR13236	1	1	1	1	1	1
(null)	PTHR13237	2	2	2	2	2	2
(null)	PTHR13239	2	2	2	2	2	2
(null)	PTHR13242	1	1	1	1	1	1
(null)	PTHR13243	1	1	1	1	1	1
(null)	PTHR13244	1	1	1	1	1	1
(null)	PTHR13245	1	1	1	1	1	1
(null)	PTHR13246	1	1	1	1	1	1
(null)	PTHR13247	1	1	1	1	1	1
(null)	PTHR13248	1	1	1	1	1	1
(null)	PTHR13250	1	1	1	1	1	1
(null)	PTHR13251	1	1	1	1	2	1
(null)	PTHR13252	1	2	1	1	1	1
(null)	PTHR13254	2	2	2	2	2	2
(null)	PTHR13255	1	1	1	1	1	1
(null)	PTHR13256	1	1	1	1	1	1
(null)	PTHR13257	1	1	1	1	1	1
(null)	PTHR13258	1	1	1	1	1	1
(null)	PTHR13259	0	1	1	1	1	1
(null)	PTHR13260	1	1	1	1	1	1
(null)	PTHR13261	1	1	1	1	1	1
(null)	PTHR13264	1	1	1	1	1	1
(null)	PTHR13265	1	1	1	1	1	1
(null)	PTHR13266	1	1	1	1	1	1
(null)	PTHR13267	1	1	1	1	1	1
(null)	PTHR13268	1	1	1	1	1	1
(null)	PTHR13269	1	1	1	1	1	1
(null)	PTHR13271	3	4	3	3	3	3
(null)	PTHR13273	1	1	1	1	1	1
(null)	PTHR13274	1	1	1	1	1	1
(null)	PTHR13275	1	1	1	1	1	1
(null)	PTHR13276	1	1	1	1	1	1
(null)	PTHR13278	1	1	1	1	1	0
(null)	PTHR13280	2	1	2	2	2	2
(null)	PTHR13281	1	1	1	1	1	1
(null)	PTHR13282	1	1	1	1	0	1
(null)	PTHR13283	2	2	2	2	2	2
(null)	PTHR13284	2	2	2	2	2	2
(null)	PTHR13285	2	2	2	2	2	2
(null)	PTHR13286	2	2	2	2	2	1
(null)	PTHR13287	1	1	1	1	1	1
(null)	PTHR13288	2	2	1	1	1	1
(null)	PTHR13289	1	1	1	1	1	1
(null)	PTHR13291	1	2	1	2	2	2
(null)	PTHR13292	1	1	1	1	1	1
(null)	PTHR13293	2	2	2	2	2	2
(null)	PTHR13295	1	1	1	1	1	1
(null)	PTHR13296	1	1	1	1	1	1
(null)	PTHR13297	1	1	1	1	1	1
(null)	PTHR13298	1	1	1	1	1	2
(null)	PTHR13299	1	1	1	1	1	1
(null)	PTHR13302	1	1	1	1	1	1
(null)	PTHR13303	1	1	1	1	1	1
(null)	PTHR13304	1	1	1	1	1	1
(null)	PTHR13305	1	1	1	1	1	1
(null)	PTHR13306	1	1	1	1	1	1
(null)	PTHR13308	2	2	2	2	2	2
(null)	PTHR13309	1	1	1	1	1	1
(null)	PTHR13312	1	1	1	1	1	1
(null)	PTHR13313	4	3	5	3	1	1
(null)	PTHR13314	1	1	1	1	1	1
(null)	PTHR13315	1	1	1	1	1	1
(null)	PTHR13316	1	1	1	1	1	1
(null)	PTHR13317	1	1	1	1	1	1
(null)	PTHR13318	12	12	11	11	11	11
(null)	PTHR13321	1	1	1	1	1	1
(null)	PTHR13322	1	1	1	1	1	1
(null)	PTHR13323	1	1	1	1	1	1
(null)	PTHR13325	0	1	0	0	1	0
(null)	PTHR13326	2	2	2	2	2	2
(null)	PTHR13327	1	1	1	1	1	1
(null)	PTHR13328	1	1	1	1	1	1
(null)	PTHR13329	1	1	1	1	1	1
(null)	PTHR13333	1	1	1	1	1	1
(null)	PTHR13334	1	2	1	1	1	1
(null)	PTHR13335	1	2	1	1	1	1
(null)	PTHR13336	3	2	2	2	2	2
(null)	PTHR13337	1	1	1	1	1	1
(null)	PTHR13338	1	1	1	1	1	1
(null)	PTHR13339	1	1	1	1	1	1
(null)	PTHR13340	1	1	1	1	1	1
(null)	PTHR13341	2	2	2	2	2	2
(null)	PTHR13342	1	1	1	1	1	1
(null)	PTHR13343	2	2	2	2	2	2
(null)	PTHR13344	1	1	1	1	1	1
(null)	PTHR13345	2	2	2	2	2	2
(null)	PTHR13347	1	1	1	1	1	1
(null)	PTHR13348	1	1	1	1	1	1
(null)	PTHR13349	1	1	1	1	1	1
(null)	PTHR13350	1	1	1	1	1	1
(null)	PTHR13351	1	1	1	1	1	1
(null)	PTHR13353	1	1	1	1	1	1
(null)	PTHR13354	2	2	2	2	2	2
(null)	PTHR13355	1	1	1	1	1	1
(null)	PTHR13356	2	2	2	2	2	2
(null)	PTHR13357	1	1	1	1	1	1
(null)	PTHR13359	1	1	1	1	1	1
(null)	PTHR13360	1	1	1	1	1	1
(null)	PTHR13361	1	1	1	1	1	1
(null)	PTHR13362	1	1	1	1	1	1
(null)	PTHR13363	2	2	2	2	2	2
(null)	PTHR13364	1	1	1	1	1	1
(null)	PTHR13366	1	1	1	1	1	1
(null)	PTHR13367	4	4	5	4	4	4
(null)	PTHR13369	1	1	1	1	1	1
(null)	PTHR13370	1	1	1	1	1	1
(null)	PTHR13371	1	1	1	1	1	1
(null)	PTHR13372	3	3	3	3	3	3
(null)	PTHR13373	1	1	1	1	1	1
(null)	PTHR13374	1	1	1	1	1	1
(null)	PTHR13375	1	1	1	1	1	0
(null)	PTHR13376	1	1	1	1	1	1
(null)	PTHR13377	1	1	1	1	1	1
(null)	PTHR13378	1	1	1	1	1	1
(null)	PTHR13379	1	1	1	1	1	1
(null)	PTHR13381	1	1	1	1	1	1
(null)	PTHR13382	2	1	1	1	1	1
(null)	PTHR13383	1	1	1	1	1	1
(null)	PTHR13384	1	1	1	1	1	1
(null)	PTHR13385	1	1	1	1	1	1
(null)	PTHR13386	1	1	2	2	1	1
(null)	PTHR13387	1	1	1	1	1	1
(null)	PTHR13388	5	5	5	5	5	5
(null)	PTHR13389	1	1	1	1	1	1
(null)	PTHR13390	1	1	1	1	1	1
(null)	PTHR13391	1	1	1	1	1	1
(null)	PTHR13392	2	2	2	2	2	2
(null)	PTHR13393	1	1	1	1	1	1
(null)	PTHR13394	1	1	1	1	1	1
(null)	PTHR13395	1	1	1	1	1	1
(null)	PTHR13396	2	2	2	2	2	2
(null)	PTHR13398	1	1	1	1	1	1
(null)	PTHR13399	1	1	1	1	1	1
(null)	PTHR13400	2	2	2	2	2	2
(null)	PTHR13401	1	1	1	1	1	1
(null)	PTHR13402	2	2	2	2	3	2
(null)	PTHR13403	1	1	1	1	1	1
(null)	PTHR13405	1	1	1	1	1	1
(null)	PTHR13407	2	2	2	2	2	1
(null)	PTHR13408	1	1	1	1	1	1
(null)	PTHR13409	1	1	1	1	1	1
(null)	PTHR13410	1	1	1	1	1	1
(null)	PTHR13411	1	1	0	1	1	1
(null)	PTHR13412	1	1	1	1	1	1
(null)	PTHR13413	1	1	1	1	1	1
(null)	PTHR13414	1	1	1	1	1	1
(null)	PTHR13415	1	1	1	1	1	1
(null)	PTHR13416	1	1	1	1	1	1
(null)	PTHR13417	1	1	2	2	1	1
(null)	PTHR13419	1	1	1	1	1	1
(null)	PTHR13420	1	1	1	1	1	1
(null)	PTHR13421	1	1	1	1	1	1
(null)	PTHR13422	1	1	1	1	1	2
(null)	PTHR13423	1	1	1	1	1	1
(null)	PTHR13425	1	1	1	1	1	1
(null)	PTHR13428	2	2	2	2	2	2
(null)	PTHR13429	1	1	1	1	1	1
(null)	PTHR13430	1	1	1	2	1	1
(null)	PTHR13434	1	1	1	1	1	1
(null)	PTHR13437	1	1	1	1	1	0
(null)	PTHR13438	1	1	1	1	1	1
(null)	PTHR13439	6	6	6	6	7	6
(null)	PTHR13440	1	1	1	1	1	1
(null)	PTHR13445	1	1	1	1	1	0
(null)	PTHR13447	1	1	1	1	1	1
(null)	PTHR13448	1	1	1	1	1	1
(null)	PTHR13449	1	1	1	1	1	1
(null)	PTHR13450	1	1	1	1	1	1
(null)	PTHR13451	1	1	1	1	1	1
(null)	PTHR13452	1	1	1	1	1	1
(null)	PTHR13453	1	1	1	1	1	1
(null)	PTHR13454	1	1	1	1	1	1
(null)	PTHR13455	2	2	2	2	2	2
(null)	PTHR13456	2	1	1	1	1	0
(null)	PTHR13457	3	1	1	2	1	1
(null)	PTHR13459	1	1	1	1	1	1
(null)	PTHR13460	1	1	1	1	1	1
(null)	PTHR13462	2	2	2	2	2	2
(null)	PTHR13463	1	1	1	1	1	1
(null)	PTHR13464	1	1	1	1	1	1
(null)	PTHR13465	2	2	2	2	2	2
(null)	PTHR13466	1	1	1	1	1	1
(null)	PTHR13467	1	1	1	1	1	1
(null)	PTHR13468	1	1	1	1	1	1
(null)	PTHR13469	2	2	2	2	2	2
(null)	PTHR13471	1	1	1	1	1	1
(null)	PTHR13473	1	1	1	1	1	1
(null)	PTHR13475	3	1	1	1	1	1
(null)	PTHR13476	1	1	1	1	1	1
(null)	PTHR13477	1	1	1	1	1	1
(null)	PTHR13479	2	2	2	2	2	2
(null)	PTHR13480	1	1	1	1	2	1
(null)	PTHR13481	1	1	1	1	1	1
(null)	PTHR13482	1	0	1	1	1	1
(null)	PTHR13483	2	2	2	2	2	2
(null)	PTHR13484	1	1	1	1	1	1
(null)	PTHR13486	1	1	1	1	1	1
(null)	PTHR13487	1	1	1	1	1	1
(null)	PTHR13489	1	1	1	1	1	1
(null)	PTHR13490	1	1	1	1	1	1
(null)	PTHR13491	1	1	1	1	1	1
(null)	PTHR13492	1	1	1	1	1	1
(null)	PTHR13493	1	1	1	1	1	1
(null)	PTHR13495	1	1	1	1	1	1
(null)	PTHR13497	1	1	1	1	1	1
(null)	PTHR13498	1	1	1	1	1	1
(null)	PTHR13500	1	1	1	1	1	1
(null)	PTHR13501	1	1	1	1	1	1
(null)	PTHR13502	1	2	2	2	2	1
(null)	PTHR13503	1	1	1	1	1	1
(null)	PTHR13504	1	1	1	1	1	1
(null)	PTHR13505	1	1	1	1	1	1
(null)	PTHR13507	1	1	1	1	1	1
(null)	PTHR13509	1	1	1	1	1	1
(null)	PTHR13510	1	1	1	1	1	1
(null)	PTHR13511	1	1	1	1	1	1
(null)	PTHR13512	1	1	1	1	1	1
(null)	PTHR13513	1	1	1	1	1	1
(null)	PTHR13516	2	2	2	2	2	2
(null)	PTHR13518	1	1	1	1	1	1
(null)	PTHR13520	1	1	1	1	1	1
(null)	PTHR13522	1	1	1	1	1	1
(null)	PTHR13523	3	2	2	2	2	2
(null)	PTHR13524	1	1	1	1	1	1
(null)	PTHR13526	1	1	1	3	3	2
(null)	PTHR13527	1	1	1	1	1	1
(null)	PTHR13528	1	1	1	1	1	1
(null)	PTHR13530	1	1	1	1	2	1
(null)	PTHR13531	3	3	3	3	3	3
(null)	PTHR13532	1	1	1	1	1	1
(null)	PTHR13533	1	1	1	1	1	1
(null)	PTHR13538	1	1	1	1	1	1
(null)	PTHR13539	1	1	1	1	1	1
(null)	PTHR13542	1	1	1	1	1	1
(null)	PTHR13544	1	1	1	1	1	1
(null)	PTHR13546	3	3	3	3	3	3
(null)	PTHR13547	1	1	1	1	1	1
(null)	PTHR13551	1	1	2	1	1	1
(null)	PTHR13554	1	1	1	1	1	1
(null)	PTHR13555	3	3	3	3	4	3
(null)	PTHR13556	1	1	1	1	1	1
(null)	PTHR13557	1	1	1	1	1	1
(null)	PTHR13558	1	1	1	1	1	1
(null)	PTHR13559	1	1	1	1	1	1
(null)	PTHR13561	1	1	1	1	1	1
(null)	PTHR13563	3	3	3	3	3	3
(null)	PTHR13568	4	4	4	5	4	4
(null)	PTHR13572	2	2	2	2	2	2
(null)	PTHR13578	3	3	3	3	3	3
(null)	PTHR13580	3	3	3	3	3	3
(null)	PTHR13581	1	1	1	1	1	1
(null)	PTHR13582	1	1	1	1	1	1
(null)	PTHR13585	1	1	1	1	1	1
(null)	PTHR13586	2	2	2	2	2	2
(null)	PTHR13587	1	1	1	1	1	1
(null)	PTHR13589	3	3	3	3	3	3
(null)	PTHR13593	3	3	3	3	3	4
(null)	PTHR13594	1	1	1	1	1	1
(null)	PTHR13595	1	1	1	1	1	1
(null)	PTHR13596	2	2	2	2	3	2
(null)	PTHR13598	2	2	2	2	2	2
(null)	PTHR13600	1	1	1	1	1	8
(null)	PTHR13601	1	1	1	1	1	1
(null)	PTHR13602	2	4	1	1	1	1
(null)	PTHR13603	1	1	1	1	1	1
(null)	PTHR13604	1	1	1	1	1	1
(null)	PTHR13605	1	1	1	1	1	1
(null)	PTHR13608	1	1	1	1	1	1
(null)	PTHR13609	2	2	2	2	2	2
(null)	PTHR13610	2	2	2	2	2	2
(null)	PTHR13612	1	1	1	1	1	1
(null)	PTHR13615	1	1	1	1	1	1
(null)	PTHR13618	1	1	1	1	1	1
(null)	PTHR13619	1	1	1	1	1	1
(null)	PTHR13620	3	3	2	2	2	2
(null)	PTHR13621	1	1	1	1	1	1
(null)	PTHR13622	1	1	1	1	1	1
(null)	PTHR13624	2	2	2	2	2	2
(null)	PTHR13627	1	1	1	1	1	1
(null)	PTHR13628	1	1	1	1	1	1
(null)	PTHR13630	1	1	1	1	1	1
(null)	PTHR13633	1	1	1	1	1	1
(null)	PTHR13634	1	1	1	1	1	1
(null)	PTHR13636	1	1	1	1	1	1
(null)	PTHR13639	1	1	1	1	1	1
(null)	PTHR13650	1	1	1	1	1	1
(null)	PTHR13651	1	1	1	1	1	1
(null)	PTHR13659	1	1	1	1	1	1
(null)	PTHR13663	1	1	1	1	1	1
(null)	PTHR13664	1	1	1	1	1	1
(null)	PTHR13667	1	1	1	1	1	1
(null)	PTHR13673	1	1	1	1	1	1
(null)	PTHR13674	2	2	2	2	2	2
(null)	PTHR13675	1	1	1	1	1	1
(null)	PTHR13677	2	2	2	2	2	2
(null)	PTHR13678	4	4	4	4	4	4
(null)	PTHR13680	2	2	2	2	2	3
(null)	PTHR13681	3	3	3	3	4	3
(null)	PTHR13683	1	1	1	1	1	2
(null)	PTHR13691	2	2	2	2	2	2
(null)	PTHR13693	6	6	6	6	6	5
(null)	PTHR13697	3	4	3	3	3	3
(null)	PTHR13703	8	8	8	8	8	8
(null)	PTHR13707	3	4	3	3	2	2
(null)	PTHR13710	5	5	5	5	5	5
(null)	PTHR13713	4	4	4	4	4	4
(null)	PTHR13715	6	6	6	6	6	6
(null)	PTHR13718	2	3	2	2	2	3
(null)	PTHR13720	11	11	11	11	11	12
(null)	PTHR13722	0	1	0	1	1	1
(null)	PTHR13723	26	26	26	27	26	26
(null)	PTHR13738	3	3	3	3	3	3
(null)	PTHR13742	3	3	3	3	3	3
(null)	PTHR13743	6	6	6	6	6	6
(null)	PTHR13748	1	1	1	1	5	1
(null)	PTHR13759	2	2	2	2	2	2
(null)	PTHR13763	1	1	1	1	1	1
(null)	PTHR13767	1	1	1	1	1	1
(null)	PTHR13768	3	3	3	3	3	3
(null)	PTHR13769	1	1	1	1	1	1
(null)	PTHR13771	10	10	11	8	6	6
(null)	PTHR13773	2	2	2	2	2	2
(null)	PTHR13774	1	1	1	1	1	1
(null)	PTHR13778	2	2	2	2	2	2
(null)	PTHR13779	1	1	1	1	1	1
(null)	PTHR13780	3	3	3	3	3	3
(null)	PTHR13793	9	9	9	9	9	9
(null)	PTHR13794	1	1	1	1	1	1
(null)	PTHR13798	2	3	2	2	2	2
(null)	PTHR13799	1	1	1	1	1	1
(null)	PTHR13800	8	8	8	7	8	8
(null)	PTHR13802	2	2	2	2	2	1
(null)	PTHR13803	4	4	4	4	4	4
(null)	PTHR13806	2	2	2	2	2	2
(null)	PTHR13808	2	2	2	2	2	2
(null)	PTHR13809	9	11	11	11	11	9
(null)	PTHR13812	1	1	1	1	1	1
(null)	PTHR13813	0	0	1	2	3	0
(null)	PTHR13814	4	4	4	4	4	4
(null)	PTHR13815	1	1	1	1	1	1
(null)	PTHR13817	14	14	14	14	14	14
(null)	PTHR13820	3	3	3	3	2	3
(null)	PTHR13822	1	1	1	1	1	1
(null)	PTHR13826	3	3	2	3	3	3
(null)	PTHR13829	1	1	1	1	1	1
(null)	PTHR13831	1	1	1	1	1	1
(null)	PTHR13832	12	12	12	12	12	12
(null)	PTHR13843	3	3	3	3	3	3
(null)	PTHR13844	5	5	5	5	5	5
(null)	PTHR13847	4	5	3	4	4	4
(null)	PTHR13848	5	3	5	4	5	4
(null)	PTHR13850	2	2	2	2	2	2
(null)	PTHR13856	3	2	3	3	3	3
(null)	PTHR13857	5	5	5	6	11	4
(null)	PTHR13859	2	2	2	2	2	2
(null)	PTHR13861	1	1	1	1	1	1
(null)	PTHR13864	5	5	5	5	4	5
(null)	PTHR13865	3	3	3	3	3	3
(null)	PTHR13866	4	4	4	4	5	5
(null)	PTHR13869	7	7	7	7	7	7
(null)	PTHR13872	2	2	2	2	2	2
(null)	PTHR13874	3	3	3	3	3	3
(null)	PTHR13886	2	2	2	2	2	2
(null)	PTHR13890	1	1	1	1	1	1
(null)	PTHR13891	1	1	1	1	1	1
(null)	PTHR13900	1	1	1	1	2	1
(null)	PTHR13902	6	6	6	6	6	6
(null)	PTHR13903	1	1	1	1	1	1
(null)	PTHR13904	1	1	1	1	1	1
(null)	PTHR13906	6	6	6	6	6	6
(null)	PTHR13914	2	2	2	2	3	1
(null)	PTHR13923	2	2	2	3	2	2
(null)	PTHR13924	4	3	3	3	3	4
(null)	PTHR13929	1	1	1	1	1	1
(null)	PTHR13930	1	1	1	1	2	1
(null)	PTHR13931	2	2	2	2	2	2
(null)	PTHR13932	1	1	1	1	1	1
(null)	PTHR13935	4	4	4	4	4	4
(null)	PTHR13936	3	4	3	3	2	3
(null)	PTHR13937	1	1	1	1	2	1
(null)	PTHR13943	7	5	3	4	5	3
(null)	PTHR13944	4	4	4	4	4	4
(null)	PTHR13946	3	2	2	2	4	2
(null)	PTHR13947	3	3	3	3	3	3
(null)	PTHR13948	3	3	3	3	3	3
(null)	PTHR13950	2	2	2	2	2	2
(null)	PTHR13952	3	4	4	4	4	3
(null)	PTHR13954	2	2	2	2	2	2
(null)	PTHR13958	2	2	2	2	2	2
(null)	PTHR13962	3	3	3	3	3	4
(null)	PTHR13964	4	4	4	4	4	4
(null)	PTHR13966	2	2	2	2	2	2
(null)	PTHR13968	4	3	3	3	7	3
(null)	PTHR13976	11	10	11	12	9	9
(null)	PTHR13980	1	1	1	1	1	1
(null)	PTHR13986	2	2	2	2	2	2
(null)	PTHR13987	2	1	1	1	1	1
(null)	PTHR13989	4	3	4	3	3	2
(null)	PTHR13992	2	2	2	2	2	2
(null)	PTHR13994	1	1	1	1	1	1
(null)	PTHR13999	6	6	7	8	5	6
(null)	PTHR14002	10	10	10	10	11	10
(null)	PTHR14003	4	3	3	3	3	3
(null)	PTHR14005	1	1	1	1	1	1
(null)	PTHR14009	3	3	3	4	3	3
(null)	PTHR14014	1	1	1	1	1	1
(null)	PTHR14015	2	2	2	2	2	2
(null)	PTHR14017	2	3	2	2	3	3
(null)	PTHR14021	1	1	1	1	1	1
(null)	PTHR14024	3	3	3	3	3	3
(null)	PTHR14025	1	1	1	1	1	1
(null)	PTHR14027	1	1	1	1	1	1
(null)	PTHR14030	2	2	2	2	2	2
(null)	PTHR14037	1	1	1	1	2	1
(null)	PTHR14038	3	3	3	3	3	3
(null)	PTHR14042	2	2	2	2	2	2
(null)	PTHR14043	2	2	2	2	2	2
(null)	PTHR14047	2	1	2	2	21	2
(null)	PTHR14049	3	3	3	2	3	3
(null)	PTHR14052	1	1	1	1	1	1
(null)	PTHR14054	0	1	1	1	1	1
(null)	PTHR14057	3	3	3	3	3	3
(null)	PTHR14058	3	3	3	3	3	3
(null)	PTHR14060	3	3	3	3	3	3
(null)	PTHR14063	4	4	4	4	4	4
(null)	PTHR14064	2	2	2	2	2	2
(null)	PTHR14066	2	2	2	2	2	2
(null)	PTHR14068	1	1	1	1	1	0
(null)	PTHR14069	1	1	1	1	1	1
(null)	PTHR14074	3	3	3	3	3	3
(null)	PTHR14076	3	3	3	3	3	3
(null)	PTHR14081	1	2	0	2	2	2
(null)	PTHR14083	2	2	2	2	2	2
(null)	PTHR14084	1	1	1	1	1	1
(null)	PTHR14085	1	1	1	1	1	1
(null)	PTHR14087	1	1	1	1	1	1
(null)	PTHR14089	1	1	1	1	1	1
(null)	PTHR14091	1	1	1	1	1	1
(null)	PTHR14093	2	2	2	2	2	2
(null)	PTHR14094	1	1	1	1	1	1
(null)	PTHR14095	2	2	2	2	2	2
(null)	PTHR14096	4	16	17	15	7	4
(null)	PTHR14097	1	1	1	1	1	1
(null)	PTHR14098	4	4	4	4	4	4
(null)	PTHR14102	4	4	4	4	4	4
(null)	PTHR14106	1	1	1	1	1	1
(null)	PTHR14107	2	1	2	2	2	2
(null)	PTHR14110	1	1	1	1	1	1
(null)	PTHR14112	2	1	1	2	8	1
(null)	PTHR14113	2	2	2	2	2	2
(null)	PTHR14115	1	1	1	1	1	1
(null)	PTHR14119	2	2	2	2	2	2
(null)	PTHR14122	1	1	1	1	1	1
(null)	PTHR14130	3	3	3	3	3	3
(null)	PTHR14131	1	1	1	1	1	1
(null)	PTHR14132	7	7	7	7	8	5
(null)	PTHR14134	1	1	1	1	1	1
(null)	PTHR14136	1	1	1	1	1	1
(null)	PTHR14139	3	3	3	3	3	3
(null)	PTHR14140	2	2	2	2	2	2
(null)	PTHR14145	3	2	2	2	2	2
(null)	PTHR14146	1	1	1	1	1	1
(null)	PTHR14149	3	3	3	3	3	3
(null)	PTHR14150	1	1	1	2	2	1
(null)	PTHR14152	1	1	1	1	1	1
(null)	PTHR14154	3	4	3	2	3	3
(null)	PTHR14156	1	1	1	1	1	1
(null)	PTHR14159	2	1	2	2	2	1
(null)	PTHR14162	1	1	1	1	1	1
(null)	PTHR14164	1	1	1	1	1	1
(null)	PTHR14165	1	1	2	1	1	1
(null)	PTHR14166	4	4	4	4	6	4
(null)	PTHR14167	16	16	17	16	16	16
(null)	PTHR14168	2	2	2	2	2	2
(null)	PTHR14179	0	0	0	0	2	0
(null)	PTHR14181	1	1	1	1	1	1
(null)	PTHR14186	3	3	3	3	3	3
(null)	PTHR14187	2	2	2	2	2	2
(null)	PTHR14189	1	1	1	1	1	1
(null)	PTHR14190	1	1	1	1	1	1
(null)	PTHR14191	4	4	4	5	4	4
(null)	PTHR14195	2	2	2	2	2	2
(null)	PTHR14196	2	2	3	2	2	2
(null)	PTHR14198	6	6	6	6	6	6
(null)	PTHR14199	1	1	1	1	16	1
(null)	PTHR14200	1	1	1	1	1	1
(null)	PTHR14202	1	1	1	1	1	0
(null)	PTHR14205	1	1	1	1	1	1
(null)	PTHR14206	3	3	3	3	3	3
(null)	PTHR14207	2	2	2	2	2	2
(null)	PTHR14208	2	2	2	2	2	2
(null)	PTHR14209	1	1	1	1	1	1
(null)	PTHR14211	1	1	1	1	1	1
(null)	PTHR14212	1	1	1	1	1	1
(null)	PTHR14215	3	3	3	3	3	3
(null)	PTHR14217	1	1	1	1	1	1
(null)	PTHR14218	1	1	1	1	1	1
(null)	PTHR14221	1	1	1	1	1	1
(null)	PTHR14222	2	2	2	2	2	2
(null)	PTHR14224	4	5	3	3	29	5
(null)	PTHR14225	2	1	2	1	1	1
(null)	PTHR14226	2	2	2	2	2	2
(null)	PTHR14233	2	2	3	3	2	2
(null)	PTHR14234	3	3	3	3	5	3
(null)	PTHR14235	1	1	1	1	1	1
(null)	PTHR14237	3	3	3	3	3	2
(null)	PTHR14239	4	4	4	4	5	4
(null)	PTHR14240	2	2	2	2	2	2
(null)	PTHR14241	2	2	2	2	2	2
(null)	PTHR14247	3	3	3	3	3	3
(null)	PTHR14248	2	2	2	2	3	2
(null)	PTHR14254	1	1	1	1	1	1
(null)	PTHR14255	1	1	1	1	1	1
(null)	PTHR14256	3	2	3	3	3	3
(null)	PTHR14261	1	1	1	1	1	1
(null)	PTHR14269	2	2	2	2	2	2
(null)	PTHR14270	1	1	1	1	1	1
(null)	PTHR14272	1	1	1	1	1	1
(null)	PTHR14273	1	1	1	1	1	1
(null)	PTHR14274	1	1	1	1	1	1
(null)	PTHR14275	1	1	1	1	1	0
(null)	PTHR14281	1	1	1	1	1	1
(null)	PTHR14286	1	1	1	1	1	1
(null)	PTHR14289	1	1	1	1	1	1
(null)	PTHR14292	1	1	1	1	1	1
(null)	PTHR14297	2	2	2	2	5	2
(null)	PTHR14299	0	2	1	1	0	1
(null)	PTHR14303	1	1	1	1	1	1
(null)	PTHR14304	2	2	2	2	2	2
(null)	PTHR14305	1	1	1	1	1	0
(null)	PTHR14307	1	1	1	1	1	1
(null)	PTHR14308	1	1	1	1	1	1
(null)	PTHR14309	2	2	2	2	2	2
(null)	PTHR14312	1	1	1	1	1	1
(null)	PTHR14313	1	1	1	1	1	1
(null)	PTHR14315	2	2	2	2	2	3
(null)	PTHR14319	2	2	3	2	2	2
(null)	PTHR14320	1	1	1	1	1	1
(null)	PTHR14324	1	1	1	1	1	1
(null)	PTHR14326	1	1	2	1	1	1
(null)	PTHR14327	1	1	1	1	1	1
(null)	PTHR14330	1	1	1	1	1	0
(null)	PTHR14332	1	1	1	1	1	1
(null)	PTHR14334	2	2	2	2	2	2
(null)	PTHR14336	3	3	3	3	3	3
(null)	PTHR14338	3	3	3	3	3	3
(null)	PTHR14339	3	2	2	2	2	2
(null)	PTHR14340	2	2	2	2	2	2
(null)	PTHR14343	1	1	1	1	1	0
(null)	PTHR14344	1	1	1	1	1	1
(null)	PTHR14347	1	1	1	1	1	1
(null)	PTHR14350	1	1	1	1	1	1
(null)	PTHR14351	1	1	1	1	1	1
(null)	PTHR14352	1	1	1	1	1	1
(null)	PTHR14353	2	3	2	2	2	2
(null)	PTHR14356	1	2	2	2	2	2
(null)	PTHR14359	1	1	1	1	1	1
(null)	PTHR14360	2	2	2	2	2	2
(null)	PTHR14362	1	1	1	1	1	1
(null)	PTHR14365	1	1	1	1	1	2
